Essential;Focused;Singular;Clear;Complete;Unique;Ubiquitous;Integrous;Ill-formed;Valid;Theme;
1;1;1;1;1;1;1;1;0;1;view transaction history ;
0;0;0;1;1;0;1;0;0;0;update their profile ;
1;1;1;1;1;1;1;0;0;0;test the edit post feature ;
0;0;0;1;1;0;1;0;0;0;test the registration of a new user ;
0;0;0;1;1;0;1;0;0;0;test the registration functionality ;
1;1;1;1;1;1;1;1;0;1;test the order confirmation page ;
1;1;1;1;1;1;1;1;0;1;add item to list and view the updated list;
1;1;1;1;1;1;1;1;0;1;test the edit functionality ;
0;0;0;1;1;0;1;0;0;0;create a new project ;
1;0;0;1;1;0;1;0;0;0;add a new user ;
1;0;0;1;1;0;1;0;0;0;add a new post ;
1;0;1;1;1;1;1;1;0;0;update a product's information ;
1;0;0;1;1;1;1;0;0;0;test the shopping cart feature ;
1;1;1;1;1;1;1;1;0;1;view their profile ;
1;0;0;1;1;0;1;0;0;0;test the delete post functionality ;
1;1;1;1;1;1;1;1;0;1;test the api endpoint for deleting a user ;
1;1;1;0;1;1;1;1;0;0;build package and trigger process via rdopkg;
1;0;0;1;1;1;1;0;0;0;upload a file ;
0;0;0;1;1;0;1;0;0;0;login and logout functionality;
1;0;0;1;1;0;1;0;0;0;test the search functionality ;
1;1;1;1;1;1;1;0;0;0;check existence of user with specified credentials;
0;0;1;1;1;0;1;0;0;0;create a new blog post ;
1;1;1;1;1;1;1;1;0;1;test the functionality of the delete button ;
1;1;1;1;1;0;1;0;0;0;register ;
1;1;0;1;1;1;1;0;0;0;test the edit functionality in item list;
1;1;1;1;1;1;1;1;0;1;view a list of all posts ;
1;0;1;1;1;0;1;1;0;0;register ;
1;1;1;1;1;1;1;1;0;1;add new product to inventory ;
1;1;1;1;1;0;1;0;0;0;handling invalid email and password;
1;1;1;1;1;1;0;0;0;0;find pair with closest sum to target value ;
1;0;1;1;1;0;1;1;0;0;test the user creation functionality ;
0;0;0;1;1;0;1;1;0;0;test the login functionality ;
1;1;1;1;1;1;1;1;0;1;view the list of files in a package;
0;1;0;1;1;1;1;0;0;0;test the delete item functionality ;
0;0;0;1;1;0;1;0;0;0;test the checkout functionality ;
1;1;1;1;1;1;1;1;0;1;remove first character;
1;1;0;1;1;1;1;0;0;0;test the product page functionality ;
0;0;0;1;1;0;1;0;0;0;place an order ;
1;0;1;1;1;0;1;1;0;0;create new user with the given details ;
1;1;1;1;1;1;1;1;0;1;sort list of numbers in ascending order;
1;1;0;1;1;1;1;0;0;0;filter contacts by group in address book ;
1;1;1;1;1;1;1;1;0;1;change password ;
1;0;0;1;1;1;1;0;0;0;test the file upload feature ;
1;1;1;1;1;1;1;1;0;1;edit an existing task;
1;1;1;1;1;1;1;1;0;1;register ;
0;0;1;1;1;0;1;0;0;0;add new user ;
0;0;1;1;1;0;1;0;0;0;test delete account button functionality;
1;1;1;1;1;1;1;1;0;1;test a new feature ;
1;1;0;1;1;0;1;1;0;0;test the search functionality ;
1;1;1;1;1;0;1;1;0;0;reset password with valid data ;
1;1;1;1;1;1;1;0;0;0;create a new post ;
1;1;1;1;1;1;1;1;0;1;search for a book in the library ;
1;1;1;1;1;1;1;1;0;1;query invalid table for males in 2011 ;
1;1;1;1;1;1;1;1;0;1;"test the ""checkout"" button ";
1;1;0;1;1;0;1;0;0;0;test  the project creation page ;
1;1;1;1;1;1;1;1;0;1;view cart ;
1;1;1;1;1;1;1;1;0;1;test the product page functionality ;
1;0;1;1;1;0;1;1;0;0;checkout and pay for orders;
1;0;0;1;1;0;1;0;0;0;test the checkout page ;
0;1;0;1;1;1;1;0;0;0;add new repository to a project ;
1;1;1;1;1;1;1;1;0;1;check that user can edit their account details ;
1;0;0;1;1;1;1;0;0;0;add a new recipe;
1;0;0;1;1;1;1;0;0;0;view a post;
0;0;0;1;1;0;1;0;0;0;test the update functionality ;
1;1;1;1;1;0;1;1;0;0;create a new user;
1;0;0;1;1;0;1;0;0;0;test the file upload functionality ;
1;1;1;1;1;1;1;1;0;1;test a simple to-do list ;
1;0;1;1;1;0;1;0;0;0;create a new project ;
1;1;1;1;0;1;1;0;0;0;download a file;
1;1;1;1;1;1;1;1;0;1;check the temperature ;
1;0;1;1;1;0;1;0;0;0;add new product to the cart ;
1;1;0;1;1;1;1;1;0;0;add items to wishlist ;
0;0;0;0;0;0;0;0;1;0;find house prices by date ;
1;1;1;1;1;1;1;1;0;1;view a post ;
0;0;0;1;1;1;1;0;0;0;test the api ;
1;1;1;1;1;1;1;1;0;1;create new post with a title and a body;
1;1;1;1;1;0;1;1;0;0;test the account creation functionality ;
1;1;1;1;1;0;1;1;0;0;create a new user;
1;1;1;0;0;1;1;1;0;0;rdopkg build ;
0;0;1;1;1;1;1;0;0;0;view the details of a todo item ;
1;1;0;1;1;0;1;0;0;0;test search page;
1;1;1;1;1;1;1;1;0;1;test the function of the 'ls' command ;
1;1;1;1;1;1;1;1;0;1;view a list of all users ;
1;1;0;1;1;1;1;0;0;0;filter list by age/name;
0;1;1;1;1;0;1;0;0;0;create a new post ;
1;1;1;1;1;1;1;1;0;1;view a list of all products ;
1;1;1;1;1;0;1;1;0;0;test the user creation functionality ;
0;0;1;1;1;0;1;0;0;0;create new task ;
0;0;1;1;1;0;1;0;0;0;test the edit functionality ;
1;0;0;1;1;0;1;0;0;0;create new task ;
1;1;0;1;1;0;1;0;0;0;edit the details of a specific user ;
1;0;1;1;1;0;1;1;0;0;test the login functionality ;
1;1;1;1;1;1;1;1;0;1;test a simple web server ;
0;0;1;1;1;1;1;0;0;0;test the function of the button;
1;1;0;1;1;0;1;0;0;0;test registration;
1;1;1;1;1;0;1;1;0;1;add new user to the system ;
1;0;1;1;1;0;1;0;0;0;edit user account details ;
1;1;1;1;1;0;1;0;0;0;login;
1;1;1;1;1;1;1;1;0;1;test the delete functionality ;
0;0;0;1;1;0;1;0;0;0;test api endpoint to add new user ;
1;0;1;1;1;0;1;1;0;0;register;
1;1;1;1;1;0;1;1;0;0;change password ;
1;0;1;1;1;0;1;0;0;0;test the create functionality ;
1;1;1;1;1;1;1;1;0;1;sort a list of uploaded files ;
1;1;1;1;1;1;1;1;0;1;filter products by category ;
0;0;0;0;0;0;0;0;1;0;rdopkg patch --amend ;
0;1;0;1;1;1;1;0;0;0;test the stopwatch ;
1;1;1;1;1;0;1;1;0;0;test the delete functionality ;
1;1;1;1;1;1;1;1;0;1;test the payment functionality ;
1;1;1;1;1;1;1;1;0;1;delete a task from a project ;
1;0;0;1;1;0;1;0;0;0;test the delete functionality ;
1;1;0;1;1;1;1;0;0;0;mark an item as done ;
0;0;1;1;1;0;1;1;0;0;create a new user ;
1;1;1;1;1;0;1;1;0;0;create new project with a specific name ;
1;0;1;1;1;0;1;1;0;0;test the edit functionality ;
1;0;0;1;1;0;1;1;0;0;register and login;
1;1;1;1;1;0;1;1;0;0;test the search functionality ;
1;1;1;1;1;0;1;1;0;0;update quantity of a product in cart ;
1;1;1;1;1;1;1;1;0;1;sort dictionnary by key;
0;0;1;1;1;0;1;1;0;0;edit account information;
1;0;1;1;1;0;1;1;0;0;add new task to a project ;
1;1;0;1;1;0;1;0;0;0;add new task ;
1;1;1;1;1;1;1;1;0;1;test the add functionality ;
1;0;0;1;1;0;1;0;0;0;test the search functionality ;
1;1;1;1;1;1;1;1;0;1;view other users profiles ;
1;1;1;1;1;0;1;1;0;0;see the list of all products ;
1;1;1;1;1;1;1;1;0;1;open txt files;
1;0;0;1;1;0;1;0;0;0;test login;
0;1;1;1;1;1;1;1;0;0;see the correct information on the homepage ;
1;0;1;1;1;0;1;0;0;0;add new user ;
1;1;1;1;1;1;1;1;0;1;sum list of numbers;
1;0;1;1;1;0;1;1;0;0;login;
1;1;0;1;1;1;1;0;0;0;manage network interfaces up and down;
0;0;0;0;0;0;0;0;1;0;add new product to the cart ;
1;0;0;1;1;0;1;0;0;0;create new user ;
1;0;1;1;1;1;1;1;0;0;create new organization ;
0;1;1;1;1;0;1;1;0;0;create new project ;
1;1;0;1;1;0;1;0;0;0;create new project ;
1;1;1;1;1;0;1;1;0;0;create new user;
1;0;0;1;1;0;1;0;0;0;update account;
1;1;0;1;1;0;1;0;0;0;login;
1;1;0;1;1;1;1;0;0;0;view task's details ;
1;1;1;1;1;0;1;0;0;0;test new project creation;
1;1;1;1;1;0;1;1;0;0;view another user's profile page ;
1;1;0;1;1;0;1;0;0;0;login;
1;1;0;1;1;1;1;0;0;0; verify the presence of elements on page ;
1;1;1;1;1;1;1;1;0;1;insert element in list;
1;1;0;1;1;0;1;0;0;0;login;
1;1;0;1;1;1;1;0;0;0;test the shopping cart;
1;0;0;1;1;0;1;0;0;0;view order history ;
1;1;1;1;1;1;1;1;0;1;add new product to cart;
1;1;1;1;1;1;1;1;0;1;delete a user ;
1;0;1;1;1;0;1;0;0;0;upload a file ;
0;1;0;1;1;0;1;0;0;0;login, registration and password reset;
1;0;1;1;1;0;1;0;0;0;reset password ;
1;0;0;1;1;0;1;0;0;0;test the registration;
1;0;1;1;1;0;1;0;0;0;create new post;
0;0;0;0;0;0;0;0;1;0;/;
1;0;0;1;1;0;1;0;0;0;create a new repository ;
1;1;1;1;1;1;1;0;0;0;test the remove method;
1;1;1;1;1;1;1;1;0;1;add new member to a project ;
0;0;0;0;0;0;0;0;1;0;edit profile;
1;1;1;1;1;1;1;1;0;1;create new blog post;
0;0;0;0;0;0;0;0;1;0;/;
1;1;1;0;1;1;1;0;0;0;ranges of 100, 50 and 25;
1;1;1;1;1;1;1;1;0;1;test calculate_total function;
1;1;0;1;1;1;1;0;0;0;test function that return bool;
1;1;1;1;1;1;1;0;0;0;search for a specific blog post ;
1;0;1;1;1;1;1;0;0;0;edit project feature ;
1;0;0;1;1;0;1;0;0;0;add new product to inventory;
1;1;0;1;1;1;1;0;0;0;test product page;
1;1;1;1;1;0;1;1;0;0;test reset password;
1;0;0;1;1;0;1;0;0;0;view the details of a todo item ;
1;1;1;1;0;1;1;1;0;0;extract specific field from file;
1;1;1;1;1;1;1;1;0;1;test wishlist page ;
1;1;0;1;1;0;1;0;0;0;test search functionality;
1;1;1;1;1;1;1;1;0;1;add a new employee;
1;0;1;1;1;0;1;0;0;0;user can place an order ;
1;0;1;1;1;0;1;0;0;0;edit task in a project ;
1;0;1;1;1;0;1;0;0;0;checkout cart ;
1;1;1;1;1;0;1;0;0;0;see the details of a specific project ;
1;1;1;1;1;0;1;1;0;0;create new user ;
1;1;1;1;1;0;1;1;0;0;test order confirmation ;
1;0;0;1;1;0;1;0;0;0;edit account information ;
1;1;1;1;1;1;1;1;0;1;test create item functionality;
1;1;0;1;1;1;1;0;0;0;open and close file;
1;0;0;1;1;1;1;0;0;0;add a new payment method ;
1;0;1;1;1;0;1;0;0;0;test the web server;
1;1;1;1;1;1;1;1;0;1;step with a table ;
1;1;1;1;1;1;1;1;0;1;test add_item function;
1;1;0;1;1;0;1;0;0;0;add to cart functionality ;
1;0;1;1;1;0;1;0;0;0;add a new task to a project ;
1;1;0;1;1;0;1;0;0;0;edit a user's details ;
1;0;1;1;1;0;1;0;0;0;create a new post;
1;1;1;1;1;1;1;1;0;1;verify number of files in directory ;
1;0;1;1;1;0;1;0;0;0;create a new user ;
1;1;1;1;1;0;1;1;0;0;login;
1;1;0;1;1;0;1;0;0;0;create a new user ;
1;1;1;1;1;1;1;1;0;1;test remove from cart button;
1;1;0;1;1;1;1;0;0;0;test simple calculator;
1;1;1;1;1;1;1;1;0;1;logout;
1;1;1;1;1;1;1;1;0;1;add two numbers;
0;0;0;0;0;0;0;0;1;0;login;
1;1;1;1;1;1;1;1;0;1;view the total value of the inventory ;
1;1;0;1;1;0;1;0;0;0;login and logout;
1;1;0;1;1;1;1;0;0;0;login and create post;
1;1;1;1;1;1;1;1;0;1;run python file;
1;1;0;1;1;1;1;0;0;0;add and remove package repositories ;
1;1;0;1;1;1;1;0;0;0;filter tasks by status ;
1;0;1;1;1;0;1;1;0;0;test checkout functionality;
1;1;1;1;1;1;1;1;0;1;search for a package ;
1;1;0;1;1;1;1;0;0;0;update profile details with valid or invalid info;
1;1;1;1;1;1;1;1;0;1;withdraw funds from bank account;
0;0;0;0;0;0;0;0;1;0;rdopkg patch --amend ;
1;1;0;1;1;1;1;0;0;0;test reset password;
1;1;1;1;1;0;1;1;0;0;sum list of numbers;
1;0;1;1;1;0;1;0;0;0;create new user account;
1;1;1;1;1;1;1;1;0;1;test user profile functionality;
1;1;1;1;1;0;1;0;0;0;edit user;
1;1;1;1;1;1;1;1;0;1;login with no credentials;
1;1;1;1;1;0;1;1;0;0;edit profile functionality;
1;1;1;1;1;1;1;1;0;1;store user in database;
1;1;1;1;1;1;1;1;0;1;mark task as incomplete ;
1;1;1;1;1;0;1;1;0;0;logout;
1;1;0;1;1;0;1;0;0;0;sum list of numbers;
1;1;1;1;1;1;1;1;0;1;add new book to the library ;
1;0;0;1;1;0;1;0;0;0;create new user account;
1;1;0;1;1;1;1;0;0;0;manage user permissions ;
1;0;1;1;1;0;1;1;0;0;test edit account;
