Essential;Focused;Singular;Clear;Complete;Unique;Ubiquitous;Integrous;Ill-formed;Valid;Theme
1;1;1;1;1;1;1;1;0;1;see details of contact in contacts list
1;1;1;1;1;1;1;1;0;1;view other users' profiles 
1;1;1;1;1;1;1;1;0;1;creat new post 
1;1;1;1;1;1;1;1;0;1;assign users to departments
1;1;1;1;1;1;1;1;0;1;view list of all projects 
1;1;1;1;1;1;1;1;0;1;add two numbers
1;1;1;1;1;1;1;1;0;1;run setup script on directory
1;1;1;1;1;1;1;1;0;1;hotspot metric config for a kalibro
1;1;1;1;1;1;1;1;0;1;test api endpoint for adding product 
1;1;1;1;1;1;1;1;0;1;purchase with valid credit card
1;1;1;1;1;1;1;1;0;1;highest score wins
1;1;1;1;1;1;1;1;0;1; view list of all products 
1;0;0;1;1;1;1;1;0;0;edit a log entry 
1;1;1;1;1;1;1;1;0;1;test the delete employee
1;1;1;1;1;0;1;1;0;0;login
1;1;1;1;1;1;1;1;0;1;sort list in lexicographical order
1;1;0;1;1;0;1;0;0;0;login
1;1;1;1;1;0;1;1;0;0;add new task
0;0;0;1;1;0;1;0;0;0;create new account 
0;0;1;1;1;1;1;0;0;0;add a new contact 
0;0;0;0;0;0;0;0;1;0;/
1;1;1;1;1;0;1;1;0;0;search for a product 
1;1;1;1;1;0;1;1;0;0;addition
1;1;0;1;1;1;1;0;0;0;test the view functionality 
1;1;1;1;1;1;1;1;0;1;profile update 
1;1;1;1;1;1;1;1;0;1;password reset confirmation 
1;1;1;1;1;1;1;1;0;1;create new hotspot metric config
1;0;0;1;1;0;1;0;0;0;reset password 
1;1;1;1;1;1;1;1;0;1;add new contact
0;0;0;0;0;0;0;0;1;0;/
1;1;1;1;1;1;1;1;0;1;register user
1;1;1;1;1;1;1;1;0;1;find the occurrences of word
1;1;1;1;1;0;1;1;0;0;login
0;1;0;1;1;1;1;1;0;0;complete checkout process
1;1;1;1;1;1;1;1;0;1;create a new project 
1;0;1;1;1;0;1;1;0;0;edit profile
1;1;1;1;1;0;1;1;0;0;create new user 
0;0;0;0;0;0;0;0;1;0;find house prices
1;1;1;1;1;1;1;1;0;1;find the average of the numbers 
1;1;1;1;1;1;1;1;0;1;total cost of  shopping cart 
1;1;1;1;1;0;1;1;0;0;edit information 
0;1;0;1;1;0;1;0;0;0;calculator
1;1;1;1;1;1;1;1;0;1;run setup script with origin remote
0;0;0;0;0;0;0;0;1;0;/
1;1;1;1;1;1;1;1;0;1;add new user with existing email
0;0;0;0;0;0;0;0;1;0;determine second largest num in list
1;1;1;1;1;1;1;1;0;1;add new book to the library 
1;1;1;1;1;1;1;1;0;1;delete a project 
1;1;1;1;1;1;1;1;0;1;money transfer
1;1;0;1;1;0;1;1;0;0;delete existing post on the blog 
0;0;1;1;1;0;1;1;0;0;login
1;0;1;1;1;0;1;1;0;0;update a user 
1;1;1;1;1;1;1;1;0;1;add new user to a group 
1;1;1;1;1;0;1;1;0;0;reset password 
0;0;0;1;1;0;1;0;0;0;edit account 
0;0;1;1;1;0;1;1;0;0;reset password
1;1;1;1;1;0;1;1;0;0;test delete
1;1;1;1;1;1;1;1;0;1;sort list of numbers
1;1;1;1;1;1;1;1;0;1;remove item from cart 
1;1;1;1;1;1;1;1;0;1;check number of pieces
1;1;1;1;1;0;1;1;0;0;add new project
1;1;1;1;1;0;1;1;0;0;view list of all posts on the blog 
0;0;0;0;0;0;0;0;1;0;actual/requested brightness equal 
1;1;1;1;1;1;1;1;0;1;sort list of numbers ascending order
1;1;1;1;1;1;1;1;0;1;send and receive test email
1;1;1;1;1;1;1;1;0;1;too short password
1;0;1;1;1;0;1;1;0;1;test reset password feature 
0;0;0;0;0;0;0;0;1;0;view account details 
1;1;1;1;1;1;1;1;0;1;view task 
1;1;1;1;1;0;1;1;0;0;edit profile information 
0;0;1;1;1;1;1;1;0;0;delete  log 
1;1;1;1;1;1;1;1;0;1;view all orders for specific date range 
1;1;1;1;1;0;1;1;0;0;add new user to the system 
0;0;0;0;0;0;0;0;1;0;create new user 
1;1;1;1;1;1;1;1;0;1;check the edit profile page 
1;1;1;1;1;0;1;1;0;0;login
0;0;0;0;0;0;0;0;1;0;/
1;1;1;1;1;1;1;1;0;1;update project 
1;1;1;1;1;0;1;1;0;0;registration 
1;1;1;1;1;0;1;1;0;0;view a post 
1;1;1;1;1;1;1;1;0;1;reduce list to a single value
1;1;1;1;1;1;1;1;0;1;sum of list
1;1;1;1;1;1;1;1;0;1;delete user from a group 
1;1;0;1;1;0;1;1;0;0;create a new user 
0;0;0;1;1;0;1;0;0;0;test registration functionality 
1;1;0;1;1;1;1;1;0;0;login/navigation/message/list display
1;1;1;1;1;1;1;1;0;1;account withdraws
1;1;1;1;1;1;1;1;0;1;add products to cart 
0;0;0;0;0;0;0;0;1;0;test the sorting for users 
1;0;0;1;1;0;1;0;0;0;register and login
0;0;0;0;0;0;0;0;1;0;view details of a product 
0;1;0;1;1;0;1;0;0;0;median of a list
1;0;0;1;1;0;1;0;0;0;test deletion of project 
1;1;1;1;1;1;1;1;0;1;get a blog post 
1;1;1;1;1;1;1;1;0;1;view order history 
0;0;1;1;1;0;1;1;0;0;view post 
1;0;0;1;1;1;1;0;0;0;view order details 
1;1;1;1;1;1;1;1;0;1;check if user is logged out 
1;1;1;1;1;1;1;1;0;1;calculate area of rectangle 
1;1;1;1;1;1;1;1;0;1;view list of comments for single post 
1;1;1;1;1;1;1;1;0;1;test account verification feature 
1;1;1;1;1;0;1;1;0;0;login
1;1;0;1;1;0;1;0;0;0;search for a product
1;1;0;1;1;1;1;0;0;0;follow and unfollow another user
0;0;0;0;0;0;0;0;1;0;delete account 
1;1;1;1;1;1;1;1;0;1;delet friend from user's list
1;0;0;1;1;0;1;1;0;0;login and registration
0;0;0;0;0;0;0;0;1;0;edit file
0;0;0;1;1;1;1;1;0;0;checkout and place an order
1;1;0;1;1;1;1;1;0;0;test pagination 
1;1;1;1;1;1;1;1;0;1;create new hotspot metric config
1;1;1;1;1;0;1;1;0;0;average of the numbers
1;1;1;1;1;1;1;1;0;1;see poker hand
1;1;1;1;1;1;1;1;0;1;check status of flight 
1;0;0;1;1;1;1;1;0;0;edit task 
1;1;1;1;1;1;1;1;0;1;manage user 
1;1;1;1;1;0;1;1;0;0;see list of all orders
1;1;1;1;1;1;1;1;0;1;check if string is palindrome 
1;1;1;1;1;0;1;1;0;0;register 
0;0;1;1;1;0;1;1;0;0;login
1;1;1;1;1;0;1;1;0;0;check total price of cart 
1;1;1;1;1;1;1;1;0;1;view a user's account balance 
0;0;0;1;1;1;1;1;0;0;edit log entry 
1;1;1;1;1;1;1;1;0;1;check the output of function 
1;0;1;1;1;0;1;1;0;0;create new account 
1;1;1;1;1;1;1;1;0;1;check if the user is an adult 
1;1;1;1;1;1;1;1;0;1;test search functionality 
1;1;1;1;1;0;1;1;0;0;filter tasks on the board 
0;0;0;0;0;0;0;0;1;0;create new user 
0;0;0;1;1;0;1;0;0;0;edit a project 
0;0;0;0;0;0;0;0;1;0;check if button is disabled 
1;0;0;1;1;0;1;0;0;0;add new task to the board 
0;1;1;1;1;0;1;1;0;0;log in with credentials 
0;0;0;0;0;0;0;0;1;0;/
1;1;1;1;1;0;1;1;0;0;view other users' profiles
1;1;1;1;1;0;1;1;0;0;create a new user
0;0;0;0;0;0;0;0;1;0;login to the system 
1;1;1;1;1;1;1;0;0;0;get book 
0;0;0;1;1;0;1;0;0;0;test the file upload functionality 
1;1;0;1;1;0;1;1;0;0;checkout and pay
1;1;1;1;1;1;1;1;0;1;search for tasks 
1;0;0;1;1;1;1;1;0;0;view the details of house 
0;1;1;1;1;0;1;1;0;0;sort numbers list in descending order
1;1;1;1;1;1;1;1;0;1;book flight 
1;0;0;1;1;0;1;0;0;0;test delete feature 
0;0;0;1;1;0;1;0;0;0;view and edit profile with success
1;1;1;1;1;1;1;1;0;1;add new product to category 
0;0;0;0;0;0;0;0;1;0;view profile 
1;1;1;1;1;1;1;1;0;1;update quantity of an item
0;1;1;1;1;1;1;1;0;0;dashboard display user's recent activity
1;1;1;1;1;1;1;1;0;1;account activation 
1;0;1;1;1;1;1;1;0;0;create a new blog post 
1;1;1;1;1;0;1;1;0;0;account activation 
0;0;0;0;0;0;0;0;1;0;sum of numbers
1;1;1;1;1;1;1;1;0;1;find the total price of list of items 
1;0;1;1;1;0;1;0;0;0;login to account 
0;0;0;0;0;0;0;0;1;0;/
1;1;0;1;0;1;1;1;0;0;test checkout functionality 
1;1;1;1;1;1;1;1;0;1;checkout 
1;1;0;1;1;0;1;1;0;0;follow and unfollow users 
1;1;1;1;1;0;1;1;0;0;test create user feature 
1;0;0;1;1;1;1;0;0;0;edit comment on a post 
0;0;1;1;1;0;1;0;0;0;add new contact 
1;1;1;1;1;1;1;1;0;1;sort list of dictionaries by key
1;1;1;1;1;1;1;1;0;1;find pair with closest sum to number
1;1;1;1;1;1;1;1;0;1;social network validation 
1;1;1;1;1;0;1;1;0;0;edit a user's information 
1;1;0;1;1;0;1;1;0;0;reset password 
1;1;1;1;1;1;1;1;0;1;"test ""isdisjoint"" method of ""set"" class "
0;1;1;1;1;1;1;0;0;0;multiplication 
1;1;1;1;1;1;1;1;0;1;view cart 
0;0;0;0;0;0;0;0;1;0;check the balance of a bank account 
1;1;1;1;1;1;1;1;0;1;register with wrong password
1;0;0;1;1;1;1;0;0;0;create new namespace with custom url 
1;1;1;1;1;0;1;1;0;0;unsuccessful login
1;1;1;1;1;1;1;1;0;1;view a list of all users
0;1;0;1;1;0;1;1;0;0;add hotspot metric config
1;1;1;1;1;1;1;1;0;1;view single post 
1;1;1;1;1;0;1;1;0;0;view project's details 
0;0;0;0;0;0;0;0;1;0;remove product from cart
1;1;1;1;1;0;1;1;0;0;complete purchase 
1;1;1;1;1;0;1;1;0;0;create new user 
1;1;1;1;1;1;1;1;0;1;remove element from list
1;1;1;1;1;1;1;1;0;1;multiplying vector by scalar 
1;0;0;1;1;0;1;1;0;0;create new post with title and body 
1;1;1;1;1;1;1;1;0;1;filter transaction history by date 
1;1;1;1;1;0;1;1;0;0;view list of all tasks in project 
1;1;1;1;1;1;1;1;0;1;edit post 
1;1;1;1;1;1;1;1;0;1;set default address 
1;1;1;1;1;1;1;1;0;1;list all logs 
1;1;1;1;1;1;1;1;0;1;test that return is list of integers 
1;1;1;1;0;1;1;0;0;0;first number appears more than once
1;1;1;1;1;1;1;0;0;0;view a list of all log entries 
1;1;0;1;1;0;1;1;0;0;edit account information 
1;1;1;1;1;1;1;0;0;0;check if number is positive 
1;1;1;1;1;1;1;1;0;1;check if matrix is magic square 
0;0;0;1;1;0;1;1;0;0;profile management and deletion
1;1;1;1;1;1;1;1;0;1;select every third number from a list
1;1;1;1;1;1;1;1;0;1;register with valid email 
1;1;1;1;1;1;1;1;0;1;delete their order 
0;0;1;1;1;0;1;1;0;0;create new project
1;1;1;1;1;0;1;1;0;0;add two numbers 
1;1;0;1;1;0;1;1;0;0;follow unfollow another user
1;1;1;1;1;1;1;1;0;1;search for house price by date 
1;0;1;1;1;0;1;0;0;0;login with the correct credentials 
